author_name
"Austen, Jane"
"Austen, Jane"
"Austen, Jane"
"Austen, Jane"
"Austen, Jane"
"Austen, Jane"
"Austen, Jane"
"Austen, Jane"
"Austen, Jane"
"Austen, Jane"
"Christie, Agatha"
"Christie, Agatha"
"Christie, Agatha"
"Christie, Agatha"
"Christie, Agatha"
"Christie, Agatha"
"Christie, Agatha"
"Christie, Agatha"
"Defoe, Daniel"
"Defoe, Daniel"
"Defoe, Daniel"
"Defoe, Daniel"
"Defoe, Daniel"
"Defoe, Daniel"
"Defoe, Daniel"
"Defoe, Daniel"
"Defoe, Daniel"
"Defoe, Daniel"
"Dickens, Charles"
"Dickens, Charles"
"Dickens, Charles"
"Dickens, Charles"
"Dickens, Charles"
"Dickens, Charles"
"Dickens, Charles"
"Dickens, Charles"
"Dickens, Charles"
"Dickens, Charles"
"Doyle, Arthur Conan"
"Doyle, Arthur Conan"
"Doyle, Arthur Conan"
"Doyle, Arthur Conan"
"Doyle, Arthur Conan"
"Doyle, Arthur Conan"
"Doyle, Arthur Conan"
"Doyle, Arthur Conan"
"Doyle, Arthur Conan"
"Doyle, Arthur Conan"
"Eliot, George"
"Eliot, George"
"Eliot, George"
"Eliot, George"
"Eliot, George"
"Eliot, George"
"Eliot, George"
"London, Jack"
"London, Jack"
"London, Jack"
"London, Jack"
"London, Jack"
"London, Jack"
"London, Jack"
"London, Jack"
"London, Jack"
"London, Jack"
"Shakespeare, William"
"Shakespeare, William"
"Shakespeare, William"
"Shakespeare, William"
"Shakespeare, William"
"Shakespeare, William"
"Shakespeare, William"
"Shakespeare, William"
"Shakespeare, William"
"Shakespeare, William"
"Shakespeare, William"
"Shakespeare, William"
"Shakespeare, William"
"Shakespeare, William"
"Shakespeare, William"
"Twain, Mark"
"Twain, Mark"
"Twain, Mark"
"Twain, Mark"
"Twain, Mark"
"Twain, Mark"
"Twain, Mark"
"Twain, Mark"
"Twain, Mark"
"Twain, Mark"
"Wilde, Oscar"
"Wilde, Oscar"
"Wilde, Oscar"
"Wilde, Oscar"
"Wilde, Oscar"
"Wilde, Oscar"
"Wilde, Oscar"
"Wilde, Oscar"
"Wilde, Oscar"
"Wilde, Oscar"
